รหัสเขตสุขภาพ,จังหวัด,ชื่อโรงพยาบาล,ชื่อ_รพ_ภาษาอังกฤษ,รหัส H Code,สังกัด,ชนิด รพ.
8,นครพนม,โรงพยาบาลวังยาง,WANGYANG HOSPITAL,40840,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
13,กรุงเทพมหานคร,โรงพยาบาลกรุงเทพไชน่าทาวน์,NULL,40856,เอกชน,รพ.เอกชน
10,อุบลราชธานี,โรงพยาบาลสรรพสิทธิ์อินเตอร์,SANPASITINTER HOSPITAL,40864,เอกชน,รพ.เอกชน
13,กรุงเทพมหานคร,โรงพยาบาลสายหยุดโรงพยาบาลทั่วไปขนาดเล็ก,NULL,40865,เอกชน,รพ.เอกชน
4,นนทบุรี,โรงพยาบาลเฉพาะทางศัลยกรรมตกแต่งเอเซียขนาดเล็ก,ASIA COSMETIC HOSPITAL,40869,เอกชน,รพ.เอกชน
4,ปทุมธานี,โรงพยาบาลทั่วไปขนาดกลางเปาโล รังสิต,PAOLO HOSPITAL RANGSIT,40887,เอกชน,รพ.เอกชน
11,สุราษฎร์ธานี,สถาบันสุขภาพจิตเด็กและวัยรุ่นภาคใต้,SOUTHERN INSTITUTE OF CHILD AND ADOLESCENCE MENTAL HEALTH,40915,รัฐในสังกัดกระทรวงสาธารณสุข (สธ.),กรมสุขภาพจิต
5,สมุทรสาคร,โรงพยาบาลวิภาราม สมุทรสาครโรงพยาบาลทั่วไปขนาดใหญ่,VABHARAM SAMUTSAKHON HOSPITAL,40917,เอกชน,รพ.เอกชน
11,ภูเก็ต,โรงพยาบาลทั่วไปขนาดกลางดีบุก,DIBUK HOSPITAL,40979,เอกชน,รพ.เอกชน
13,กรุงเทพมหานคร,โรงพยาบาลเฉพาะประเภทผู้ป่วยสูงอายุเฌ้อสเซอรี่ โฮมขนาดเล็ก,CHERSERY HOME HOSPITAL,41329,เอกชน,รพ.เอกชน
11,สุราษฎร์ธานี,โรงพยาบาลกรุงเทพสุราษฎร์,BANGLOK HOSPITAL SURAT,41339,เอกชน,รพ.เอกชน
6,สมุทรปราการ,โรงพยาบาลบางปะกอกสมุทรปราการ,BANGPAKOK HOSPITAL SAMUTPRAKAN,41413,เอกชน,รพ.เอกชน
5,นครปฐม,โรงพยาบาลทันตกรรมมหาจักรีสิรินธร คณะทันตแพทยศาสตร์ มหาวิทยาลัยมหิดล,MAHA CHAKRI SIRINDHORN DENTAL HOSPITAL FACULTY OF DENTISTRY MAHIDOL UNIVERSITY,77496,มหาวิทยาลัย,โรงเรียนแพทย์
11,กระบี่,โรงพยาบาลเกาะพีพี,PHI PHI ISLAND HOSPITAL,77753,สำนักงานปลัดกระทรวงสาธารณสุข (สป.สธ.),โรงพยาบาลชุมชน(รพช.)
1,เชียงใหม่,ศูนย์ความเป็นเลิศทางการแพทย์ คณะแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่ (อาคารเฉลิมพระเกียรติ 7 รอบ พระชนมพรรษา ศูนย์การแพทย์แผนไทยและการแพทย์ผสมผสาน),CENTER FOR MEDICAL EXCELLENCE,80092,มหาวิทยาลัย,โรงเรียนแพทย์
1,เชียงใหม่,ศูนย์ความเป็นเลิศทางการแพทย์ คณะแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่ (อาคารศูนย์เวชศาสตร์ผู้สูงอายุ),CENTER FOR MEDICAL EXCELLENCE,80093,มหาวิทยาลัย,โรงเรียนแพทย์
1,เชียงราย,โรงพยาบาลเกษมราษฎร์ แม่สาย โรงพยาบาลทั่วไปขนาดเล็ก,NULL,41417,เอกชน,รพ.เอกชน
1,เชียงราย,โรงพยาบาลเชียงรายอินเตอร์โรงพยาบาลทั่วไปขนาดกลาง,NULL,41326,เอกชน,รพ.เอกชน
1,เชียงใหม่,โรงพยาบาลเมาน์เท่นวิวโรงพยาบาลเฉพาะประเภทผู้ป่วยบำบัดยาเสพติดขนาดเล็ก,NULL,41519,เอกชน,รพ.เอกชน
1,เชียงราย,โรงพยาบาลดอยหลวง,DOILUANG HOSPITAL,28823,รัฐในสังกัดกระทรวงสาธารณสุข (สธ.),โรงพยาบาลชุมชน(รพช.)
1,เชียงใหม่,โรงพยาบาลทั่วไปขนาดเล็ก เอ็ม ที อินเตอร์เมด,NULL,21,เอกชน,รพ.เอกชน
1,เชียงใหม่,โรงพยาบาลทั่วไปขนาดเล็กลานนา 2,NULL,41736,เอกชน,รพ.เอกชน
1,เชียงราย,โรงพยาบาลทั่วไปขนาดกลางกรุงเทพเชียงราย,NULL,41574,เอกชน,รพ.เอกชน
1,พะเยา,โรงพยาบาลภูกามยาว,PHUKAMYAO HOSPITAL,40745,รัฐในสังกัดกระทรวงสาธารณสุข (สธ.),โรงพยาบาลชุมชน(รพช.)
1,พะเยา,โรงพยาบาลภูซาง,PHUSANG HOSPITAL,40744,รัฐในสังกัดกระทรวงสาธารณสุข (สธ.),โรงพยาบาลชุมชน(รพช.)
2,อุตรดิตถ์,โรงพยาบาลพิษณุเวชอุตรดิตถ์,PITSANUVEJ UTTARADIT HOSPITAL,41622,เอกชน,รพ.เอกชน
3,ชัยนาท,โรงพยาบาลเนินขาม,NOENKHAM HOSPITAL,27975,รัฐในสังกัดกระทรวงสาธารณสุข (สธ.),โรงพยาบาลชุมชน(รพช.)
3,นครสวรรค์,โรงพยาบาลชุมตาบง,CHUMTABONG HOSPITAL,40749,รัฐในสังกัดกระทรวงสาธารณสุข (สธ.),โรงพยาบาลชุมชน(รพช.)
3,พิจิตร,โรงพยาบาลดงเจริญ,DONG CHAROEN HOSPITAL,27980,รัฐในสังกัดกระทรวงสาธารณสุข (สธ.),โรงพยาบาลชุมชน(รพช.)
3,พิจิตร,โรงพยาบาลบึงนาราง,BUENGNARANG HOSPITAL,27979,รัฐในสังกัดกระทรวงสาธารณสุข (สธ.),โรงพยาบาลชุมชน(รพช.)
3,อุทัยธานี,โรงพยาบาลพริ้นซ์ อุทัยธานี โรงพยาบาลทั่วไปขนาดกลาง,NULL,41722,เอกชน,รพ.เอกชน
3,พิจิตร,โรงพยาบาลสากเหล็ก,SAK LEK HOSPITAL,27978,รัฐในสังกัดกระทรวงสาธารณสุข (สธ.),โรงพยาบาลชุมชน(รพช.)
3,ชัยนาท,โรงพยาบาลหนองมะโมง,NONGMAMONG HOSPITAL,27974,รัฐในสังกัดกระทรวงสาธารณสุข (สธ.),โรงพยาบาลชุมชน(รพช.)
4,ปทุมธานี,โรงพยาบาลเฉพาะประเภทผู้ป่วย ผู้สูงอายุ ขนาดกลาง ธนบุรีบูรณา,NULL,28,เอกชน,รพ.เอกชน
4,พระนครศรีอยุธยา,โรงพยาบาลเอเชียโรงพยาบาลทั่วไปขนาดเล็ก,NULL,41405,เอกชน,รพ.เอกชน
